symbol,name,gics_sector,industry
BHG,BHP Group Limited,Materials,Diversified Mining
ANH,Anheuser-Busch InBev SA/NV,Consumer Staples,Brewers
CFR,Compagnie Financiere Richemont SA,Consumer Discretionary,Luxury Goods
BTI,British American Tobacco p.l.c.,Consumer Staples,Tobacco
PRX,Prosus N.V.,Consumer Discretionary,Internet & Direct Marketing Retail
GLN,Glencore plc,Materials,Diversified Mining & Commodities Trading
AGL,Anglo American plc,Materials,Diversified Mining
ANG,AngloGold Ashanti plc,Materials,Gold Mining
NPN,Naspers Limited,Consumer Discretionary,Internet & Direct Marketing Retail
GFI,Gold Fields Limited,Materials,Gold Mining
FSR,FirstRand Limited,Financials,Banks
CPI,Capitec Limited,Financials,Banks
SBK,Standard Bank Group Limited,Financials,Banks
VAL,Valterra Platinum Limited,Materials,Platinum Group Metals
MTN,MTN Group Limited,Communication Services,Wireless Telecom
VOD,Vodacom Group Limited,Communication Services,Wireless Telecom
S32,South32 Limited,Materials,Diversified Mining
HAR,Harmony Gold Mining Company Limited,Materials,Gold Mining
ABG,Absa Group Limited,Financials,Banks
IMP,Impala Platinum Holdings Limited,Materials,Platinum Group Metals
SLM,Sanlam Limited,Financials,Life Insurance
DSY,Discovery Limited,Financials,Life & Health Insurance
SHP,Shoprite Holdings Ltd,Consumer Staples,Food Retail
BID,Bid Corporation Limited,Consumer Staples,Food Distribution & Wholesale
NED,Nedbank Group Limited,Financials,Banks
OUT,OUTsurance Group Limited,Financials,Non-Life Insurance
SSW,Sibanye Stillwater Limited,Materials,Precious Metals Mining
INL,Investec Group (plc),Financials,Diversified Financial Services
INP,Investec Group (Ltd),Financials,Diversified Financial Services
SOL,Sasol Limited,Energy,Integrated Oil & Gas & Chemicals
SOLBE1,Sasol BEE Preference Shares,Energy,Integrated Oil & Gas & Chemicals
REM,Remgro Limited,Financials,Investment Holding Companies
NRP,NEPI Rockcastle N.V.,Real Estate,Retail REITs
NPH,Northam Platinum Holdings Limited,Materials,Platinum Group Metals
MNP,Mondi plc,Materials,Paper & Packaging
BVT,The Bidvest Group Limited,Industrials,Diversified Support Services
RNI,Reinet Investments S.C.A.,Financials,Investment Holding Companies
KIO,Kumba Iron Ore Limited,Materials,Iron Ore Mining
PPH,Pepkor Holdings Limited,Consumer Discretionary,Apparel & Discount Retail
APN,Aspen Pharmacare Holdings Limited,Health Care,Pharmaceuticals
GRT,Growthpoint Properties Limited,Real Estate,Diversified REITs
QLT,Quilter plc,Financials,Asset Management
SHC,Shaftesbury Capital PLC,Real Estate,Retail REITs
CNP,Canal+ SA,Communication Services,Broadcasting
OMU,Old Mutual Limited,Financials,Life Insurance
PHP,Primary Health Properties Plc,Real Estate,Health Care REITs
MTM,Momentum Group Limited,Financials,Life Insurance
PAN,Pan African Resources PLC,Materials,Gold Mining
CLS,Clicks Group Limited,Consumer Staples,Drug & Health Retail
HMN,Hammerson Plc,Real Estate,Retail REITs
EXX,Exxaro Resources Limited,Energy,Coal Mining
MRP,Mr Price Group Limited,Consumer Discretionary,Apparel Retail
N91,Ninety One Group (plc),Financials,Asset Management
