rank,symbol,yf_ticker,name,market_cap_zar,market_cap_tier,gics_sector,industry
1,BHG,BHG.JO,BHP Group Limited,3650000000000,Mega Cap,Materials,Diversified Mining
2,ANH,ANH.JO,Anheuser-Busch InBev SA/NV,2690000000000,Mega Cap,Consumer Staples,Brewers
3,CFR,CFR.JO,Compagnie Financière Richemont SA,2300000000000,Mega Cap,Consumer Discretionary,Luxury Goods
4,BTI,BTI.JO,British American Tobacco p.l.c.,2080000000000,Mega Cap,Consumer Staples,Tobacco
5,PRX,PRX.JO,Prosus N.V.,1680000000000,Mega Cap,Consumer Discretionary,Internet & Direct Marketing Retail
6,GLN,GLN.JO,Glencore plc,1430000000000,Mega Cap,Materials,Diversified Mining & Commodities Trading
7,AGL,AGL.JO,Anglo American plc,940620000000,Mega Cap,Materials,Diversified Mining
8,ANG,ANG.JO,AngloGold Ashanti plc,794380000000,Mega Cap,Materials,Gold Mining
9,NPN,NPN.JO,Naspers Limited,687840000000,Mega Cap,Consumer Discretionary,Internet & Direct Marketing Retail
10,GFI,GFI.JO,Gold Fields Limited,593480000000,Mega Cap,Materials,Gold Mining
11,FSR,FSR.JO,FirstRand Limited,562290000000,Mega Cap,Financials,Banks
12,CPI,CPI.JO,Capitec Limited,559420000000,Mega Cap,Financials,Banks
13,SBK,SBK.JO,Standard Bank Group Limited,538539999999,Mega Cap,Financials,Banks
14,VAL,VAL.JO,Valterra Platinum Limited,377360000000,Mega Cap,Materials,Platinum Group Metals
15,MTN,MTN.JO,MTN Group Limited,376680000000,Mega Cap,Communication Services,Wireless Telecom
16,VOD,VOD.JO,Vodacom Group Limited,304500000000,Mega Cap,Communication Services,Wireless Telecom
17,S32,S32.JO,South32 Limited,253670000000,Mega Cap,Materials,Diversified Mining
18,HAR,HAR.JO,Harmony Gold Mining Company Limited,199330000000,Large Cap,Materials,Gold Mining
19,ABG,ABG.JO,Absa Group Limited,191460000000,Large Cap,Financials,Banks
20,IMP,IMP.JO,Impala Platinum Holdings Limited,191290000000,Large Cap,Materials,Platinum Group Metals
21,SLM,SLM.JO,Sanlam Limited,186380000000,Large Cap,Financials,Life Insurance
22,DSY,DSY.JO,Discovery Limited,177610000000,Large Cap,Financials,Life & Health Insurance
23,SHP,SHP.JO,Shoprite Holdings Ltd,154740000000,Large Cap,Consumer Staples,Food Retail
24,BID,BID.JO,Bid Corporation Limited,146150000000,Large Cap,Consumer Staples,Food Distribution & Wholesale
25,NED,NED.JO,Nedbank Group Limited,134810000000,Large Cap,Financials,Banks
26,OUT,OUT.JO,OUTsurance Group Limited,127960000000,Large Cap,Financials,Non-Life Insurance
27,SSW,SSW.JO,Sibanye Stillwater Limited,122930000000,Large Cap,Materials,Precious Metals Mining
28,INL,INL.JO,Investec Group,122560000000,Large Cap,Financials,Diversified Financial Services
29,INP,INP.JO,Investec Group,122560000000,Large Cap,Financials,Diversified Financial Services
30,SOL,SOL.JO,Sasol Limited,113810000000,Large Cap,Energy,Integrated Oil & Gas & Chemicals
31,SOLBE1,SOLBE1.JO,Sasol Limited,113810000000,Large Cap,Energy,Integrated Oil & Gas & Chemicals
32,REM,REM.JO,Remgro Limited,108370000000,Large Cap,Financials,Investment Holding Companies
33,NRP,NRP.JO,NEPI Rockcastle N.V.,108010000000,Large Cap,Real Estate,Retail REITs
34,NPH,NPH.JO,Northam Platinum Holdings Limited,106040000000,Large Cap,Materials,Platinum Group Metals
35,MNP,MNP.JO,Mondi plc,88670000000,Large Cap,Materials,Paper & Packaging
36,BVT,BVT.JO,The Bidvest Group Limited,84370000000,Large Cap,Industrials,Diversified Support Services
