rank,symbol,name,market_cap_display
1,BHG,BHP Group Limited,3.65T
2,ANH,Anheuser-Busch InBev SA/NV,2.69T
3,CFR,Compagnie Financière Richemont SA,2.30T
4,BTI,British American Tobacco p.l.c.,2.08T
5,PRX,Prosus N.V.,1.68T
6,GLN,Glencore plc,1.43T
7,AGL,Anglo American plc,940.62B
8,ANG,AngloGold Ashanti plc,794.38B
9,NPN,Naspers Limited,687.84B
10,GFI,Gold Fields Limited,593.48B
11,FSR,FirstRand Limited,562.29B
12,CPI,Capitec Limited,559.42B
13,SBK,Standard Bank Group Limited,538.54B
14,VAL,Valterra Platinum Limited,377.36B
15,MTN,MTN Group Limited,376.68B
16,VOD,Vodacom Group Limited,304.50B
17,S32,South32 Limited,253.67B
18,HAR,Harmony Gold Mining Company Limited,199.33B
19,ABG,Absa Group Limited,191.46B
20,IMP,Impala Platinum Holdings Limited,191.29B
21,SLM,Sanlam Limited,186.38B
22,DSY,Discovery Limited,177.61B
23,SHP,Shoprite Holdings Ltd,154.74B
24,BID,Bid Corporation Limited,146.15B
25,NED,Nedbank Group Limited,134.81B
26,OUT,OUTsurance Group Limited,127.96B
27,SSW,Sibanye Stillwater Limited,122.93B
28,INL,Investec Group,122.56B
29,INP,Investec Group,122.56B
30,SOL,Sasol Limited,113.81B
31,SOLBE1,Sasol Limited,113.81B
32,REM,Remgro Limited,108.37B
33,NRP,NEPI Rockcastle N.V.,108.01B
34,NPH,Northam Platinum Holdings Limited,106.04B
35,MNP,Mondi plc,88.67B
36,BVT,The Bidvest Group Limited,84.37B
37,RNI,Reinet Investments S.C.A.,84.30B
38,KIO,Kumba Iron Ore Limited,83.07B
39,PPH,Pepkor Holdings Limited,80.44B
40,APN,Aspen Pharmacare Holdings Limited,67.58B
41,GRT,Growthpoint Properties Limited,59.86B
42,QLT,Quilter plc,58.18B
43,SHC,Shaftesbury Capital PLC,57.94B
44,CNP,Canal+ SA,57.27B
45,OMU,Old Mutual Limited,54.75B
46,PHP,Primary Health Properties Plc,54.32B
47,MTM,Momentum Group Limited,53.57B
48,PAN,Pan African Resources PLC,51.05B
49,CLS,Clicks Group Limited,50.51B
50,HMN,Hammerson Plc,47.67B
51,EXX,Exxaro Resources Limited,46.71B
52,MRP,Mr Price Group Limited,46.31B
53,N91,Ninety One Group,46.24B
54,NY1,Ninety One Group,46.24B
55,RDF,Redefine Properties Limited,45.43B
56,SNT,Santam Ltd,44.68B
57,KST,PSG Financial Services Limited,42.24B
58,WHL,Woolworths Holdings Limited,41.94B
59,TBS,Tiger Brands Limited,41.23B
60,ARI,African Rainbow Minerals Limited,38.83B
61,BOX,Boxer Retail Limited,35.45B
62,VKE,Vukile Property Fund Limited,34.21B
63,SRE,Sirius Real Estate Limited,34.16B
64,DRD,DRDGOLD Limited,33.15B
